사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2022030600100268,2022년 3월 6일 19시,일요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,36세,상해없음,보행자,남,31세,경상
2022030600100326,2022년 3월 6일 23시,일요일,부산광역시 수영구 광안동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,여,30세,상해없음,이륜,남,47세,경상
2022030700100016,2022년 3월 7일 05시,월요일,부산광역시 기장군 기장읍,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,35세,상해없음,자전거,여,76세,경상
2022030700100032,2022년 3월 7일 07시,월요일,부산광역시 금정구 구서동,중상사고,0,1,0,0,차대차 - 추돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,남,63세,상해없음,승용,여,37세,중상
2022030700100033,2022년 3월 7일 07시,월요일,부산광역시 사하구 구평동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 지하차도(도로)내,화물,남,56세,상해없음,승용,남,61세,경상
2022030700100052,2022년 3월 7일 08시,월요일,부산광역시 북구 만덕동,경상사고,0,0,2,0,차대차 - 기타,안전거리미확보,건조,맑음,교차로 - 교차로안,승용,여,61세,경상,승용,여,30세,경상
2022030700100053,2022년 3월 7일 08시,월요일,부산광역시 북구 덕천동,경상사고,0,0,1,0,차대차 - 기타,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,승합,남,55세,경상
2022030700100054,2022년 3월 7일 08시,월요일,부산광역시 영도구 청학동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,58세,상해없음,보행자,남,29세,경상
2022030700100055,2022년 3월 7일 08시,월요일,부산광역시 사상구 주례동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,교차로 - 교차로부근,승용,여,38세,상해없음,승용,남,27세,경상
2022030700100056,2022년 3월 7일 08시,월요일,부산광역시 사상구 학장동,경상사고,0,0,1,0,차대차 - 측면충돌,안전거리미확보,건조,맑음,단일로 - 기타,승용,여,48세,상해없음,승용,남,31세,경상
2022030700100098,2022년 3월 7일 09시,월요일,부산광역시 동구 초량동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,특수,남,51세,상해없음,특수,남,34세,경상
2022030700100099,2022년 3월 7일 09시,월요일,부산광역시 남구 대연동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,44세,상해없음,보행자,남,30세,경상
2.02203E+15,2022년 3월 7일 09시,월요일,부산광역시 동래구 수안동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,69세,기타불명,승용,남,52세,경상
2022030700100101,2022년 3월 7일 09시,월요일,부산광역시 사상구 감전동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,65세,상해없음,화물,남,57세,경상
2022030700100205,2022년 3월 7일 13시,월요일,부산광역시 부산진구 당감동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,61세,상해없음,승용,남,66세,경상
2022030700100221,2022년 3월 7일 14시,월요일,부산광역시 동래구 온천동,경상사고,0,0,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,47세,상해없음,승용,여,38세,경상
2022030700100222,2022년 3월 7일 14시,월요일,부산광역시 사상구 주례동,경상사고,0,0,1,0,차대차 - 측면충돌,차로위반,건조,맑음,단일로 - 기타,승용,남,69세,상해없음,승용,남,48세,경상
2022030700100239,2022년 3월 7일 15시,월요일,부산광역시 부산진구 부전동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,승용,남,58세,상해없음,보행자,남,60세,경상
2.02203E+15,2022년 3월 7일 15시,월요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대사람 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로부근,화물,남,28세,상해없음,보행자,여,64세,중상
2022030700100241,2022년 3월 7일 15시,월요일,부산광역시 연제구 연산동,중상사고,0,1,0,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,50세,상해없음,보행자,여,63세,중상
